timestamp,elapsed,rss,heapTotal,heapUsed,external,arrayBuffers
1752398574999,505,34308096,4505600,3874088,1494372,10515
1752398575501,1007,35061760,4505600,3885208,1494412,10515
1752398576002,1508,35078144,4505600,3891928,1494412,10515
1752398576503,2009,35078144,4505600,3898528,1494412,10515
1752398577005,2511,35209216,4505600,3905056,1494412,10515
1752398577505,3011,35209216,4505600,3912128,1494412,10515
1752398578006,3512,35225600,4505600,3918712,1494412,10515
1752398578506,4012,35274752,4505600,3925496,1494412,10515
1752398579006,4512,31162368,4505600,3932048,1494412,10515
1752398579507,5013,31178752,4505600,3938664,1494412,10515
1752398580008,5514,31178752,4505600,3945368,1494412,10515
1752398580509,6015,31244288,4505600,3952144,1494412,10515
1752398581010,6516,31277056,4505600,3959016,1494412,10515
1752398581511,7017,31260672,4505600,3965736,1494412,10515
1752398582012,7518,31326208,4505600,3972480,1494412,10515
1752398582513,8019,31391744,4505600,3979552,1494412,10515
1752398583014,8520,31424512,4505600,3986184,1494412,10515
1752398583516,9022,31424512,4505600,3992816,1494412,10515
1752398584017,9523,31391744,4505600,3999808,1494412,10515
1752398584518,10024,31408128,4505600,4006440,1494412,10515
1752398585019,10525,31408128,4505600,4013072,1494412,10515
1752398585520,11026,31457280,4505600,4019704,1494412,10515
1752398586021,11527,31473664,4505600,4026464,1494412,10515
1752398586522,12028,31473664,4505600,4033096,1494412,10515
1752398587023,12529,31490048,4505600,4039728,1494412,10515
1752398587524,13030,31490048,4505600,4046360,1494412,10515
1752398588025,13531,31506432,4505600,4052992,1494412,10515
1752398588526,14032,31506432,4505600,4059624,1494412,10515
1752398589027,14533,29687808,4505600,4066256,1494412,10515
1752398589528,15034,29720576,4505600,4072888,1494412,10515
1752398590029,15535,29966336,4505600,4079520,1494412,10515
1752398590530,16036,29999104,4505600,4086184,1494412,10515
1752398591031,16537,30031872,4505600,4092912,1494412,10515
1752398591532,17038,30031872,4505600,4099544,1494412,10515
1752398592032,17538,28213248,4505600,4106192,1494412,10515
1752398592533,18039,21037056,4505600,4112824,1494412,10515
1752398593034,18540,22708224,4505600,4119456,1494412,10515
1752398593535,19041,22790144,4505600,4126088,1494412,10515
1752398594037,19543,22986752,4505600,4132720,1494412,10515
1752398594538,20044,22937600,4505600,4139416,1494412,10515
1752398595039,20545,23003136,4505600,4146048,1494412,10515
1752398595540,21046,23052288,4505600,4152712,1494412,10515
1752398596041,21547,20643840,4505600,4159344,1494412,10515
1752398596542,22048,20709376,4505600,4165976,1494412,10515
1752398597043,22549,22331392,5554176,3580472,1494412,10515
1752398597544,23050,22315008,5554176,3587152,1494412,10515
1752398598045,23551,22315008,5554176,3593784,1494412,10515
1752398598546,24052,22331392,5554176,3600416,1494412,10515
1752398599047,24553,22249472,5554176,3607048,1494412,10515
1752398599548,25054,21872640,5554176,3613680,1494412,10515
1752398600049,25555,21872640,5554176,3620312,1494412,10515
1752398600550,26056,21889024,5554176,3626944,1494412,10515
1752398601051,26557,21905408,5554176,3633576,1494412,10515
1752398601552,27058,21905408,5554176,3640208,1494412,10515
1752398602053,27559,21954560,5554176,3646840,1494412,10515
